Timestamp,Scene Index,Elapsed Time (min),Back wall_mean_C,Back wall_median_C,Ceiling_mean_C,Ceiling_median_C,Floor_mean_C,Floor_median_C,Front wall_mean_C,Front wall_median_C,Left wall_mean_C,Left wall_median_C,Right wall_mean_C,Right wall_median_C,Zone1_mean_C,Zone1_median_C,Zone2_mean_C,Zone2_median_C,Zone3_mean_C,Zone3_median_C,Zone4_mean_C,Zone4_median_C
2023-09-07 09:25:12,1,0.0,20.167294,20.1,19.484232,19.6,20.551947,20.4,20.887707,20.9,20.568333,20.5,20.187708,20.1,19.669407,19.8,18.99981,18.9,18.956133,18.7,18.8,19.150002
2023-09-07 09:26:38,2,1.4333333333333333,20.256042,20.2,19.48551,19.6,20.49465,20.3,20.932707,20.9,20.532707,20.4,20.127708,20.0,19.852962,19.9,18.831358,18.7,18.784904,18.849998,19.155264,18.849998
2023-09-07 09:28:03,3,2.85,20.117708,20.1,19.407385,19.6,20.49927,20.4,20.957918,20.9,20.486666,20.4,20.237915,20.1,19.66826,19.8,18.841108,18.7,18.673586,18.45,19.05,19.0
2023-09-07 09:29:27,4,4.25,20.155,20.1,19.499386,19.6,20.425583,20.3,20.831665,20.9,20.547499,20.5,20.148335,20.0,19.720268,19.9,19.029636,18.9,18.53915,18.349998,18.959211,18.7
2023-09-07 09:30:56,5,5.733333333333333,20.22125,20.1,19.487406,19.7,20.488035,20.3,20.928125,20.9,20.514584,20.4,20.106874,20.0,19.732504,19.9,18.811663,18.7,18.82783,18.5,18.878948,19.1
2023-09-07 09:32:25,6,7.216666666666667,20.192291,20.1,19.415909,19.5,20.427383,20.3,20.9275,20.9,20.456877,20.4,20.120417,20.0,19.625622,19.5,18.850285,18.8,18.79717,18.7,18.726316,18.5
2023-09-07 09:33:49,7,8.616666666666667,20.159374,20.1,19.387453,19.55,20.497519,20.4,20.862085,20.9,20.435,20.4,20.145206,20.1,19.664818,19.8,18.703253,18.6,18.702358,18.7,18.846054,18.95
2023-09-07 09:35:14,8,10.033333333333333,20.175415,20.1,19.472397,19.6,20.380642,20.2,20.907917,20.9,20.566874,20.45,20.100834,20.0,19.70344,19.7,18.864054,18.8,18.87783,18.8,18.623684,18.849998
2023-09-07 09:36:40,9,11.466666666666667,20.2,20.1,19.462074,19.6,20.475534,20.3,21.050623,21.0,20.625208,20.6,20.100626,20.0,19.590631,19.6,18.928299,18.8,18.861794,18.650002,18.901316,19.0
2023-09-07 09:38:05,10,12.883333333333333,20.196459,20.1,19.39181,19.5,20.548056,20.4,20.947502,20.9,20.5075,20.4,20.195833,20.1,19.521608,19.7,18.805927,18.8,18.396698,18.25,19.142107,19.0
